sentence,audio_path,status
"It was a bright cold day in April, and the clocks were striking thirteen.",english/english-sample1.wav,processed
"Winston Smith, his chin nuzzled into his breast in an effort to escape the vile wind, slipped quickly through the glass doors of Victory Mansions, though not quickly enough to prevent a swirl of gritty dust from entering along with him.",english/english-sample2.wav,processed
The hallway smelt of boiled cabbage and old rag mats.,english/english-sample3.wav,processed
"At one end of it a coloured poster, too large for indoor display, had been tacked to the wall.",english/english-sample4.wav,processed
"It depicted simply an enormous face, more than a metre wide: the face of a man of about forty-five, with a heavy black moustache and ruggedly handsome features.",english/english-sample5.wav,processed
Winston made for the stairs.,english/english-sample6.wav,processed
It was no use trying the lift.,english/english-sample7.wav,processed
"Even at the best of times it was seldom working, and at present the electric current was cut off during daylight hours.",english/english-sample8.wav,processed
It was part of the economy drive in preparation for Hate Week.,english/english-sample9.wav,processed
"On each landing, opposite the lift-shaft, the poster with the enormous face gazed from the wall.",english/english-sample11.wav,processed
It was one of those pictures which are so contrived that the eyes follow you about when you move.,english/english-sample12.wav,processed
"BIG BROTHER IS WATCHING YOU, the caption beneath it ran.",english/english-sample13.wav,processed
Inside the flat a fruity voice was reading out a list of figures which had something to do with the production of pig-iron.,english/english-sample14.wav,processed
The voice came from an oblong metal plaque like a dulled mirror which formed part of the surface of the right-hand wall.,english/english-sample15.wav,processed
"Winston turned a switch and the voice sank somewhat, though the words were still distinguishable.",english/english-sample16.wav,processed
"The instrument (the telescreen, it was called) could be dimmed, but there was no way of shutting it off completely.",english/english-sample17.wav,processed
"His hair was very fair, his face naturally sanguine, his skin roughened by coarse soap and blunt razor blades and the cold of the winter that had just ended.",english/english-sample19.wav,processed
"Outside, even through the shut window-pane, the world looked cold.",english/english-sample20.wav,processed
The blackmoustachio’d face gazed down from every commanding corner.,english/english-sample22.wav,processed
There was one on the house-front immediately opposite.,english/english-sample23.wav,processed
"BIG BROTHER IS WATCHING YOU, the caption said, while the dark eyes looked deep into Winston’s own.",english/english-sample24.wav,processed
"Down at street level another poster, torn at one corner, flapped fitfully in the wind, alternately covering and uncovering the single word INGSOC.",english/english-sample25.wav,processed
"In the far distance a helicopter skimmed down between the roofs, hovered for an instant like a bluebottle, and darted away again with a curving flight.",english/english-sample26.wav,processed
"It was the police patrol, snooping into people’s windows.",english/english-sample27.wav,processed
"The patrols did not matter, however.",english/english-sample28.wav,processed
Only the Thought Police mattered.,english/english-sample29.wav,processed
Behind Winston’s back the voice from the telescreen was still babbling away about pig-iron and the overfulfilment of the Ninth Three-Year Plan.,english/english-sample30.wav,processed
The telescreen received and transmitted simultaneously.,english/english-sample31.wav,processed
"Any sound that Winston made, above the level of a very low whisper, would be picked up by it, moreover, so long as he remained within the field of vision which the metal plaque commanded, he could be seen as well as heard.",english/english-sample32.wav,processed
There was of course no way of knowing whether you were being watched at any given moment.,english/english-sample33.wav,processed
"How often, or on what system, the Thought Police plugged in on any individual wire was guesswork.",english/english-sample34.wav,processed
It was even conceivable that they watched everybody all the time.,english/english-sample35.wav,processed
But at any rate they could plug in your wire whenever they wanted to.,english/english-sample36.wav,processed
"You had to live — did live, from habit that became instinct — in the assumption that every sound you made was overheard, and, except in darkness, every movement scrutinized.",english/english-sample37.wav,processed
Winston kept his back turned to the telescreen.,english/english-sample38.wav,processed
"It was safer, though, as he well knew, even a back can be revealing.",english/english-sample39.wav,processed
"A kilometre away the Ministry of Truth, his place of work, towered vast and white above the grimy landscape.",english/english-sample40.wav,processed
"This, he thought with a sort of vague distaste — this was London, chief city of Airstrip One, itself the third most populous of the provinces of Oceania.",english/english-sample41.wav,processed
He tried to squeeze out some childhood memory that should tell him whether London had always been quite like this.,english/english-sample42.wav,processed
"The Ministry of Truth --Minitrue, in Newspeak --was startlingly different from any other object in sight.",english/english-sample44.wav,processed
"It was an enormous pyramidal structure of glittering white concrete, soaring up, terrace after terrace, 300 metres into the air.",english/english-sample45.wav,processed
"From where Winston stood it was just possible to read, picked out on its white face in elegant lettering, the three slogans of the Party: WAR IS PEACE FREEDOM IS SLAVERY IGNORANCE IS STRENGTH.",english/english-sample46.wav,processed
"The Ministry of Truth contained, it was said, three thousand rooms above ground level, and corresponding ramifications below.",english/english-sample47.wav,processed
Scattered about London there were just three other buildings of similar appearance and size.,english/english-sample48.wav,processed
So completely did they dwarf the surrounding architecture that from the roof of Victory Mansions you could see all four of them simultaneously.,english/english-sample49.wav,processed
They were the homes of the four Ministries between which the entire apparatus of government was divided.,english/english-sample50.wav,processed
"The Ministry of Truth, which concerned itself with news, entertainment, education, and the fine arts.",english/english-sample51.wav,processed
"The Ministry of Peace, which concerned itself with war.",english/english-sample52.wav,processed
"The Ministry of Love, which maintained law and order.",english/english-sample53.wav,processed
"And the Ministry of Plenty, which was responsible for economic affairs.",english/english-sample54.wav,processed
"Their names, in Newspeak: Minitrue, Minipax, Miniluv, and Miniplenty.",english/english-sample55.wav,processed
The Ministry of Love was the really frightening one.,english/english-sample56.wav,processed
There were no windows in it at all.,english/english-sample57.wav,processed
"Winston had never been inside the Ministry of Love, nor within half a kilometre of it.",english/english-sample58.wav,processed
"It was a place impossible to enter except on official business, and then only by penetrating through a maze of barbed-wire entanglements, steel doors, and hidden machine-gun nests.",english/english-sample59.wav,processed
Winston turned round abruptly.,english/english-sample61.wav,processed
He had set his features into the expression of quiet optimism which it was advisable to wear when facing the telescreen.,english/english-sample62.wav,processed
